,Empathy,Urgency,Des_Norm,Inj_Norm,Cost_S_H,Benefit_O_H,Reciprocity,Mood,Reputation,Pos_SelfConcept,Benefit_S_H,Cost_O_NH,Guilt,Neg_SelfConcept,Cost_S_NH,Other
S18,4.344827586206897,4.379310344827586,3.6551724137931036,3.9655172413793105,2.2413793103448274,4.285714285714286,4.428571428571429,3.6551724137931036,3.25,3.3448275862068964,3.2758620689655173,3.8620689655172415,3.9655172413793105,3.8275862068965516,3.4482758620689653,"none; I've been in a similar situation, and also helped people in similar situations. Maybe men wouldn't see the seriousness in it, but women have to stick together when we see stuff like that. ; Safety Concerns: Assessing personal safety and whether intervention might escalate the situation.
Alternative Actions: Considering safer alternatives such as contacting authorities or alerting nearby security.; Despite wanting to help, I actually might not because I am a man and I would fear that she or bystanders would think I'm creeping up on her and harassing her as well. "
S19,2.8214285714285716,1.5714285714285714,3.0,2.9285714285714284,1.6428571428571428,2.7857142857142856,2.7857142857142856,2.2857142857142856,2.0,2.1785714285714284,2.4285714285714284,1.6428571428571428,1.5714285714285714,1.6785714285714286,1.6428571428571428,"whether the supermarket has labelled the aisle to make identification of items easy or not; no; This feels like it's not my responsibility. If the person can't find an item they're looking for, they should ask an employee for help. I'm new to this supermarket. What help will I be?"
S20,4.407407407407407,3.2962962962962963,3.6296296296296298,3.814814814814815,1.6923076923076923,3.7037037037037037,3.7777777777777777,3.259259259259259,2.925925925925926,3.037037037037037,3.0,3.2222222222222223,3.2962962962962963,2.814814814814815,2.5925925925925926,none; That the Facebook bullies would then target me; This act of helpfulness may cost a lot and not improve mood because the bullies/trolls are likely to turn on any individual who defends the teen. ; I try to avoid online interaction which are attached to my real name and info - I would be much more likely to respond in an anonymous forum than on Facebook.
S21,2.9642857142857144,2.2142857142857144,2.75,2.8214285714285716,2.074074074074074,3.142857142857143,2.8214285714285716,2.392857142857143,2.107142857142857,2.3214285714285716,2.1785714285714284,2.25,2.0357142857142856,1.9642857142857142,1.75,"How likely it is that the friend is still in the mall, has the person tried calling them on their phone or made more effort to try and find them, why do they need to meet up, has she looked at central parts of the mall like the front entrance for their friend, etc.; I do not know these people and how long this might take - once I get myself involved, it may be hard to extricate myself if the friend is not quickly found. I don't know if involving myself could be dangerous for me."
S22,3.0384615384615383,2.6538461538461537,3.3461538461538463,3.4615384615384617,1.88,3.1923076923076925,3.4615384615384617,2.6923076923076925,2.4615384615384617,2.6538461538461537,2.6153846153846154,2.3076923076923075,2.3461538461538463,2.1923076923076925,1.9615384615384615,"none; how strong the wind is, how long it will take to get to the hat, etc"
S23,4.357142857142857,3.5714285714285716,4.178571428571429,4.5,1.3214285714285714,4.037037037037037,4.2592592592592595,3.2857142857142856,2.8518518518518516,2.9285714285714284,3.107142857142857,2.9285714285714284,3.1785714285714284,2.9642857142857144,2.7857142857142856,"Unless the ground was particularly dirty/with ants, etc, I'm not sure why the bag couldn't just sit on the ground. Especially if someone else goes to sit down, they'd just have to move it again, but I'd still probably help them if that's what they were struggling with.; Helping with the bag is physically minor and could be done quickly."
S24,4.275862068965517,4.275862068965517,4.0344827586206895,4.344827586206897,1.9310344827586208,4.285714285714286,4.321428571428571,3.3448275862068964,3.1785714285714284,3.103448275862069,3.1379310344827585,3.6551724137931036,3.6551724137931036,3.0344827586206895,2.9655172413793105,Ensure that providing help does not compromise your own safety or that of others.
S25,2.7037037037037037,2.074074074074074,2.925925925925926,3.0,2.3461538461538463,3.111111111111111,3.1153846153846154,2.4074074074074074,2.5925925925925926,2.423076923076923,2.269230769230769,2.074074074074074,1.8888888888888888,1.8076923076923077,1.7307692307692308,Why in the world would someone announce to the neighborhood that they are going to be gone for 2 weeks? That is not very smart.; if they asked the post office to hold off sending their mail to the mailbox. ; They can just tell USPS to hold their mail while they are on vacation. ; What happens if I accidentally lose this mail? Will I be blamed if the mail never is delivered even if it should have been?
S26,4.0,3.8620689655172415,3.5517241379310347,3.6206896551724137,2.3214285714285716,4.241379310344827,4.321428571428571,3.1379310344827585,2.9642857142857144,3.074074074074074,2.9642857142857144,3.3448275862068964,3.1379310344827585,2.740740740740741,2.2962962962962963,It would make me nervous to help someone find their dog because that is the most common way we always hear about as kids to lure people away
S27,3.5185185185185186,3.1481481481481484,3.740740740740741,3.888888888888889,2.0,3.5925925925925926,4.2592592592592595,2.888888888888889,2.6666666666666665,2.8518518518518516,2.814814814814815,2.888888888888889,3.111111111111111,2.740740740740741,2.4074074074074074,"none; If someone in the shop is able to help take that out to her, as I don't want them to think I am leaving my scanning and items or trying to steal ; Is there a store attendant at the self-checkout who you can tell about the forgotten groceries, to hold those groceries for that other shopper or to chase after them?; Am I leaving behind my own items at the self checkout, which may get picked up/stolen as I try to chase down this other person? If I cancel checkout and take all my stuff with me, do I now need to wait a long time at the back of the line? How far do I need to follow this person to get their attention, and will they assume bad intentions on my part?"
S28,4.448275862068965,3.3333333333333335,3.933333333333333,4.1,1.6896551724137931,4.033333333333333,4.448275862068965,3.4,3.0344827586206895,3.3448275862068964,3.1,2.966666666666667,3.533333333333333,3.206896551724138,2.586206896551724,Not that I can think of.
S29,2.9642857142857144,3.142857142857143,2.892857142857143,3.142857142857143,2.0714285714285716,3.0,3.857142857142857,2.4285714285714284,2.607142857142857,2.4642857142857144,2.392857142857143,2.7857142857142856,2.2857142857142856,2.2142857142857144,1.9642857142857142,"Depends where they're stealing from (small business or corporate); The person stealing might become violent.; there should be cameras installed in the supermarket and the I would consider whether the culprit is armed or not; As much as it is right , in my opinion, to tell the owner that there is a thief in the store, I would probably also consider whether or not It looks like maybe the person stealing is in dire need to. ; Would depend on what they were stealing, food? Probably would let it go. Electronics? Likelihood goes up alot.; no; I imagine this happening in a franchised store, where the owner is making millions to billions of dollars selling overpriced things."
S30,3.0714285714285716,2.25,2.7142857142857144,3.0357142857142856,2.2222222222222223,2.9642857142857144,2.6785714285714284,2.607142857142857,2.357142857142857,2.5,2.4285714285714284,2.0,2.0714285714285716,1.8571428571428572,1.7142857142857142,father should have keys have a sound of car; I've seen this situation in real life before and the parents specifically didn't want help so I feel closer to not helping given how low-stakes the problem is.
S31,3.9,2.6129032258064515,3.6129032258064515,3.6451612903225805,1.5806451612903225,3.3333333333333335,3.4827586206896552,2.967741935483871,2.533333333333333,2.4838709677419355,2.6129032258064515,2.4193548387096775,2.129032258064516,2.096774193548387,2.096774193548387,The impact of providing support may be greater if there is a personal connection to the student or similar experiences.; no
S32,4.5,4.714285714285714,3.9285714285714284,4.285714285714286,2.7142857142857144,4.518518518518518,4.62962962962963,3.7142857142857144,3.962962962962963,3.7142857142857144,3.5357142857142856,4.392857142857143,4.285714285714286,3.9642857142857144,3.9285714285714284,"I suffer from panic attacks myself, and have physical limitations, but would definitely try to help someone in that situation regardless because I can relate to them.; Considerations such as the potential physical risk involved in helping (if it’s dangerous), the presence of others who might also help, or any personal limitations should be factored in; Dragging this person will slow you down, there's where my reluctancy lies. ; Taking into consideration the safety of the person, Because they could be harmed. I wouldn't want that on my conscious so helping is the only option."
S33,3.8076923076923075,3.6923076923076925,3.1923076923076925,3.576923076923077,2.32,3.5,3.6538461538461537,2.576923076923077,2.6923076923076925,2.8076923076923075,2.730769230769231,3.1153846153846154,2.6153846153846154,2.5,2.1923076923076925,"It could seem as I am making a mentally ill person go to jail. ; I've seen this type of scenario many times living in (and near) large cities where there's a lot of people in need. I never thought to call the police. I know some cops are genuine in their desire to help, but many are not well trained in dealing with people with mental issues. And I know some people have been harmed or killed by these untrained cops, especially if race also becomes a factor. So it's highly unlikely that I would help in this specified way because it could go wrong and bring more harm to that person in need.; is he aggressive to others, etc, does he have a weapon..."
S34,4.407407407407407,4.222222222222222,4.222222222222222,4.111111111111111,2.1153846153846154,4.481481481481482,4.538461538461538,3.5185185185185186,3.4814814814814814,3.5,3.3076923076923075,3.5555555555555554,3.4814814814814814,3.269230769230769,3.0,"These scenarios always assume that I have so much free time when I don't.; If you can help kids to find parents you never know they will THANKFUL for you. there many of missing kids please help kids to safe to parents ; While I would want to help the kid, in a real life scenario I would likely think twice as a man (and a Black man) bringing a child I do not know somewhere (even to safety). However, I would likely let someone like security etc. know that a child is in need. "
S35,4.071428571428571,3.7857142857142856,3.75,3.8214285714285716,2.892857142857143,4.185185185185185,4.37037037037037,3.392857142857143,3.185185185185185,3.142857142857143,3.0357142857142856,3.3214285714285716,3.2142857142857144,2.857142857142857,2.5714285714285716,"I would not usually be willing to risk my own safety in this situation. I tried to push a stranger out of the snow once and they floored it causing them to slide backwards and nearly ran me over along with the other person pushing. ; Ensuring that helping does not put yourself at risk, especially in icy conditions.; have they called a tow truck; You need to make sure that your car is even capable of helping. If you don't know what you're doing, then you could only dig a deeper hole and also get your car stuck. I personally don't know what to do when an incident like this happens but I will definitely try and check in with the person"
S36,4.071428571428571,4.714285714285714,4.0,4.178571428571429,2.111111111111111,4.428571428571429,4.464285714285714,3.107142857142857,2.814814814814815,3.111111111111111,3.2142857142857144,4.142857142857143,3.5714285714285716,3.037037037037037,3.111111111111111,
S37,4.357142857142857,4.482758620689655,4.275862068965517,4.586206896551724,1.9310344827586208,4.464285714285714,4.7407407407407405,3.6206896551724137,3.392857142857143,3.2413793103448274,3.3448275862068964,4.137931034482759,3.793103448275862,3.4827586206896552,3.5172413793103448,I dont generally knock on stangers doors and might even be unsure if they set the garbage fire themselves. I feel like the danger of getting involved isn't worth it. If anything I would just call it in to the fire dept. ; Ensuring your own safety when approaching the fire and notifying the residents is important. Consider if you need to call emergency services first.; I would wonder if the homeowner thought I lit it on fire as some kind of scam or joke if I knocked on their door. That would be my reluctancy to help. 
S38,3.5517241379310347,2.2666666666666666,3.3,3.4,2.4827586206896552,3.6333333333333333,3.5517241379310347,2.7333333333333334,2.7,2.6666666666666665,2.5,2.1666666666666665,2.2,2.066666666666667,1.9333333333333333,What is this neighbor like/do I have any indication that she doesn't like me or that this interaction will cause future problems?
S39,4.068965517241379,3.3666666666666667,3.066666666666667,3.3,2.310344827586207,3.8666666666666667,3.689655172413793,2.933333333333333,2.566666666666667,2.8,2.6333333333333333,3.3,3.0,2.6,2.6,"I'm unsure how safe the tourist girl would be in my car, I have to consider my safety first before helping and trusting others; I would wonder whether the girl would consider me a threat instead of someone she should trust. ; There is no indication here that she is actually in danger, so weighing that against the fact that i can be dangerous to pick up strangers, it doesn't seem wise to help"
S40,3.5517241379310347,2.5517241379310347,3.3448275862068964,3.5172413793103448,1.5517241379310345,3.206896551724138,3.8275862068965516,2.586206896551724,2.1724137931034484,2.413793103448276,2.3793103448275863,2.6551724137931036,2.3793103448275863,2.206896551724138,2.0689655172413794,"none; I""d consider that nothing would likely come from telling on the kids, the man probably has insurance on a new car so I'd probably just leave it up to them. Accidents happen.; no"
S41,3.357142857142857,2.9642857142857144,3.4642857142857144,3.642857142857143,1.5,3.9642857142857144,4.357142857142857,3.0,2.857142857142857,2.75,2.8214285714285716,3.25,2.7142857142857144,2.6785714285714284,2.4285714285714284,no
S42,4.793103448275862,4.966666666666667,4.333333333333333,4.733333333333333,2.4,4.8,4.75,3.7,3.6666666666666665,3.7586206896551726,3.6551724137931036,4.533333333333333,4.333333333333333,4.0,3.8275862068965516,No.; mostly I am just following my moral compass; no
S43,3.8620689655172415,3.3448275862068964,3.586206896551724,3.6206896551724137,2.3793103448275863,3.7241379310344827,3.9655172413793105,3.103448275862069,2.9655172413793105,3.0689655172413794,2.9655172413793105,3.206896551724138,2.7241379310344827,2.5172413793103448,2.2758620689655173,"I'd first of all have to consider the area and the likelihood someones already picked up the wallet, weather to return or for malicious means. I also feel like it's somewhat pointless for 2 people to backtrack the path since they should remember where they've been and its either still there, along the way, or not.; no; In this scenario, it feels like there is a strong chance the wallet was lost elsewhere, and that we will not end up finding it, so my help is likely to be pointless."
S44,3.84,4.269230769230769,4.038461538461538,4.3076923076923075,1.84,4.153846153846154,4.28,3.230769230769231,3.230769230769231,3.230769230769231,3.1538461538461537,3.8461538461538463,3.6538461538461537,3.4615384615384617,2.8846153846153846,none; no
S45,3.586206896551724,2.206896551724138,3.4827586206896552,3.586206896551724,1.75,3.8275862068965516,3.892857142857143,3.0689655172413794,2.7586206896551726,3.0,2.9285714285714284,2.310344827586207,2.793103448275862,2.4285714285714284,2.357142857142857,"Maybe I would help if I had time, but if I'm busy then I can't help.; I'm thinking of an elderly person I know and how it would help them.; I would be afraid of misunderstanding needs and accidentally leading this person to spend money that they did not want to spend or cannot afford to spend."
S46,2.9285714285714284,1.9285714285714286,2.3214285714285716,2.607142857142857,2.642857142857143,3.142857142857143,2.892857142857143,2.2142857142857144,2.4285714285714284,2.5357142857142856,2.392857142857143,1.8928571428571428,1.9285714285714286,1.7857142857142858,1.6428571428571428,"no; This feels like it's not my place or responsibility.; What they are doing, although maybe uncomfortable or difficult is part of their normal work at their job."
S47,3.269230769230769,2.7037037037037037,3.259259259259259,3.185185185185185,2.0,3.2962962962962963,3.0,2.814814814814815,2.4444444444444446,2.6296296296296298,2.6296296296296298,2.6666666666666665,2.5925925925925926,2.2962962962962963,2.259259259259259,Does it seem like they will have moved on by the time I get there? Will more be expected of me than to just provide them a cleaning tool? Will they be alarmed at being approached?
S48,3.392857142857143,2.607142857142857,3.25,3.392857142857143,2.2222222222222223,3.392857142857143,3.607142857142857,3.2142857142857144,3.037037037037037,3.0,3.2142857142857144,2.357142857142857,2.357142857142857,2.5925925925925926,2.111111111111111,A pet sitter needs to handle this. I would prefer not to get involved.; Whether or not this person is a complete stranger or if someone seems to know them.; if i have other plans
S49,3.5357142857142856,2.793103448275862,3.310344827586207,3.4482758620689653,1.896551724137931,3.392857142857143,3.4074074074074074,2.5517241379310347,2.25,2.2413793103448274,2.5172413793103448,2.5172413793103448,2.413793103448276,2.1379310344827585,2.103448275862069,"If they asked, I would help. But not sure why they wouldn't take them with themselves instead of asking a stranger if they're that concerned. ; Depending on the environment, you might consider personal safety or the security of your own belongings when deciding whether to help.; My answer regarding not helping is simply for safety reasons. We are always told at the airport to not accept anyone else's bags because you don't know what's in them. If it were someone I knew even casually, I would be willing to help.; In a train station or airport, I do not watch others belongings as a general rule. I think it's been stated enough in each place that you should never leave baggage unattended. I would want to help, but would not help.; Thinking about the consequences of helping, like if something went missing would they believe I was the one who took it.; Do I have plenty of time?"
S50,3.892857142857143,2.857142857142857,3.107142857142857,3.0714285714285716,1.8518518518518519,3.607142857142857,3.2857142857142856,2.642857142857143,2.5555555555555554,2.5555555555555554,2.5,2.5,2.107142857142857,2.0,1.8148148148148149,Another situation to steer clear from. ; No one wants a stranger to come up and watch their young children for them anymore. You can't trust anyone.; no
S51,4.25,4.321428571428571,3.25,3.392857142857143,3.642857142857143,4.428571428571429,3.9285714285714284,3.2857142857142856,3.857142857142857,3.392857142857143,3.0714285714285716,4.0,3.107142857142857,3.0,2.7142857142857144,"Were background checks conducted, is there assurance that the temporary shelter will last only 1 month; Safety aspects of letting a stranger stay with me.; no; In this scenario, it feels like a significant amount of effort would be involved. Having strangers living with me for a month would greatly change my life, my routine, and affect my mental health.; Anyone should be uncomfortable letting a stranger live with them, especially women."
S52,3.4814814814814814,2.7037037037037037,3.111111111111111,3.2962962962962963,2.5185185185185186,4.0,4.115384615384615,2.962962962962963,2.4615384615384617,2.7777777777777777,2.5925925925925926,2.740740740740741,2.2962962962962963,2.1481481481481484,2.0,"I would never give a referral for someone I didn't know personally. While it might work out if they turn out to be valuable to the company, I wouldn't be willing to risk my professional reputation for someone I don't actually know.;  Evaluating how a referral might impact professional connections or how the lack of help might affect relationships.; How much will my reputation be affected if I give the person a referral and they aren't any good at the job?; Is it a close friend and do I know anything about their past; Giving a referral can effect my job personally if he is not good.; I would help them because I can think of myself in that situation and would want help. I also to into consideration of how some might not help because they feel this person may take their position. Also it doesn't take but a min to send a referral.; I think it's also important to note the type of relationship/way I feel about the person. If I like the person or if we were nice to each other, then I would definitely consider more. But if it is someone who has wronged me or is someone who was not nice to me, then I would not really consider because I don't feel that the feelings would be mutual if I was in their shoes."
S53,3.1785714285714284,1.7857142857142858,3.75,3.7142857142857144,1.2962962962962963,3.2857142857142856,3.642857142857143,2.9642857142857144,1.962962962962963,2.3703703703703702,2.392857142857143,1.7857142857142858,1.8214285714285714,1.6296296296296295,1.4074074074074074,no
S54,2.4,1.6153846153846154,2.8846153846153846,3.0384615384615383,2.6,2.730769230769231,3.04,2.5384615384615383,2.4615384615384617,2.576923076923077,2.576923076923077,1.8846153846153846,1.8846153846153846,1.6923076923076923,1.6923076923076923,If they plant more than the people offering to help than it's on them . 
S55,4.37037037037037,4.333333333333333,4.037037037037037,4.222222222222222,2.6153846153846154,4.518518518518518,4.5,3.2222222222222223,3.037037037037037,3.1153846153846154,3.1538461538461537,4.037037037037037,3.962962962962963,3.730769230769231,3.4615384615384617,"What happens if I'm already trying to get somewhere and can't stop to help? Maybe I don't want blood all over my car.; none; I would call an ambulance for them instead, since again I have to concern myself with my safety, and perhaps the paramedics could treat him there on the spot. He may hurt himself even more on my drive over to the hospital, and I would feel bad.; It may worsen their condition for me to drive them - it might be better to call emergency services instead.; if the person is really in pain or if they're pretending and have bad motives "
S56,4.642857142857143,4.714285714285714,4.285714285714286,4.321428571428571,1.7037037037037037,4.571428571428571,4.821428571428571,3.5,3.2142857142857144,3.1785714285714284,3.142857142857143,4.607142857142857,4.428571428571429,4.0,3.6785714285714284,"none; Was I certain that it was slapping I heard, because I would be concerned if I called and it was a false alarm; Calling the police may worsen the abuse if the father thinks his child called or behaved in a way in front of the police he didn't approve of. ; Will the neighbor know I called, and what does that mean for me?; Will calling the police on the neighbor result in the neighbor wanting to take revenge on me? If he is such a monster for beating on his own kid, what would he do to the individual who called the police on him. That being said, no child should have to go through abuse at the hands of their parent and someone should take whatever risks to help that child."
S57,4.0,4.107142857142857,3.6785714285714284,4.071428571428571,2.0,4.285714285714286,4.285714285714286,3.392857142857143,3.107142857142857,3.392857142857143,3.4285714285714284,4.107142857142857,3.4285714285714284,3.0714285714285716,3.0,The scammer might get hostile.; no
S58,4.111111111111111,3.5,3.5357142857142856,3.6785714285714284,1.7777777777777777,3.9642857142857144,4.538461538461538,3.1785714285714284,2.9285714285714284,2.925925925925926,2.888888888888889,3.7857142857142856,3.642857142857143,3.3333333333333335,2.962962962962963,"There is a chance that I would be accused of wrongdoing as well, if the staff was convinced that this person stole and the cameras didn't give other evidence."
S59,2.9642857142857144,1.793103448275862,2.9655172413793105,3.0,1.7142857142857142,3.4482758620689653,3.75,3.2758620689655173,2.7142857142857144,2.7142857142857144,2.5172413793103448,1.5517241379310345,2.0,1.8214285714285714,1.6428571428571428,no
S60,4.777777777777778,4.962962962962963,4.666666666666667,4.703703703703703,2.8461538461538463,4.666666666666667,4.777777777777778,4.185185185185185,4.148148148148148,4.037037037037037,4.037037037037037,4.888888888888889,4.518518518518518,4.185185185185185,4.074074074074074,"It's a life-or-death situation, so it is of the utmost importance to help. "
S61,2.36,1.84,2.48,2.68,2.5,2.88,2.68,2.24,2.12,2.24,2.32,1.68,1.56,1.56,1.6,none; because it's not my responsibility to help man to buy $10 for rose. he is man and know if his dating come then show real man to responsibility get money to pay rose and date
S62,4.2592592592592595,4.407407407407407,4.37037037037037,4.444444444444445,2.7777777777777777,4.62962962962963,4.653846153846154,3.5185185185185186,3.740740740740741,3.6923076923076925,3.576923076923077,4.222222222222222,3.7037037037037037,3.6153846153846154,3.1153846153846154,If I have to risk my life then I would just call it in for help.; Getting lost myself or possibly getting injured.; no; I'm just as likely to get lost as them.
S63,3.2857142857142856,2.2413793103448274,2.896551724137931,3.1724137931034484,2.25,3.3793103448275863,3.3214285714285716,2.6551724137931036,2.5714285714285716,2.6785714285714284,2.6206896551724137,2.2758620689655173,2.103448275862069,1.9285714285714286,1.8571428571428572,Is there any reason why they can't go back and get it themselves?; if i have somewhere to be 
