,mean,SD,n,help_prop,SD_prop
Q63,1.0,2.936215118703153,104,0.6826923076923077,0.46768222297605744
Q64,-0.6923076923076923,3.0372346999948614,104,0.46153846153846156,0.5009326626273541
Q65,2.25,2.6758539150628686,104,0.7884615384615384,0.41037697382074245
Q66,3.970873786407767,1.7232909162277765,103,0.9611650485436893,0.19414620007023908
Q67,2.8823529411764706,2.434464251335572,102,0.8725490196078431,0.3351242898575015
Q68,2.5510204081632653,2.608955429394857,98,0.8469387755102041,0.3618976564426625
Q69,1.7627906976744185,2.7640062397489276,215,0.786046511627907,0.41105141874782136
Q70,3.4716981132075473,1.9233282025341056,106,0.9716981132075472,0.16662173698080737
Q71,-2.1619047619047618,2.7284956743027178,105,0.21904761904761905,0.41558467574084434
Q72,-1.2830188679245282,2.9269022043666446,106,0.37735849056603776,0.48702850583785373
Q73,1.8653846153846154,2.457632029096428,104,0.7788461538461539,0.4170336944602445
Q74,1.796116504854369,2.632225716306955,103,0.7572815533980582,0.43082272905694413
Q75,3.7524752475247523,1.7855304007160417,101,0.9702970297029703,0.17061333737750137
Q76,2.9047619047619047,2.242610984835317,105,0.9047619047619048,0.2949514146369483
Q77,0.018518518518518517,2.9764856699771114,108,0.5277777777777778,0.5015552137090731
Q78,0.15384615384615385,3.386922969215943,104,0.5673076923076923,0.49784824523147586
Q79,2.5294117647058822,2.9541240927733186,102,0.8235294117647058,0.383102620636122
Q80,1.7047619047619047,2.218470581642164,105,0.8,0.4019184762342502
Q81,2.0784313725490198,2.5589535086828126,102,0.8431372549019608,0.3654672321922326
Q82,0.514018691588785,3.13038814273496,107,0.616822429906542,0.4884488311217753
Q83,2.0754716981132075,2.547447324405344,106,0.8113207547169812,0.39311230788765483
Q84,1.3495145631067962,2.861881795095591,103,0.7184466019417476,0.45195600445599815
Q85,2.0377358490566038,2.8848521569839565,106,0.7641509433962265,0.4265450747677499
Q86,2.466666666666667,2.590911135647171,105,0.8761904761904762,0.33094381626464864
Q87,1.653061224489796,2.565038697950991,98,0.8061224489795918,0.3973666738812736
Q88,3.9423076923076925,1.47356593493486,104,0.9903846153846154,0.09805806756909202
Q89,-0.2,3.1816783186043374,105,0.5047619047619047,0.5023753102820165
Q90,3.6285714285714286,1.475812311244888,105,0.9809523809523809,0.1373479845664612
Q91,1.6476190476190475,3.057088082765615,105,0.7142857142857143,0.4539206495016018
Q92,2.6923076923076925,2.441855585517452,104,0.875,0.33232046762708356
Q93,0.6565656565656566,2.9560095004183586,99,0.6262626262626263,0.48625722985776854
Q94,0.5428571428571428,2.749225665208616,105,0.5904761904761905,0.49410443646985613
Q95,3.5242718446601944,1.792383997910105,103,0.9611650485436893,0.19414620007023908
Q96,1.912621359223301,2.8114150931183786,103,0.7961165048543689,0.4048534787237514
Q97,4.102803738317757,1.3800094300966586,107,0.9813084112149533,0.1360707648313611
Q98,2.1067961165048543,2.92022233023857,103,0.7766990291262136,0.4184949418709827
Q99,3.4571428571428573,2.3247355988145415,105,0.9047619047619048,0.2949514146369483
Q100,4.242718446601942,1.6116367238786864,103,0.9805825242718447,0.13866184882315605
